"date","username","tweet"
"2014-09-05","laura_conheoo7","ese hijuemadre de brayan no respeta y que mi firme estã en medellin muchoo pendejoo"
"2014-09-05","lazarocasanova","just landed in medellã­n tonight the party is at salon amador holla http n31kaz34pg"
"2014-09-05","litchemedellinc","michaelweimer20 empezã medellã­n car festival http rv4q3iewlw todonoticiaslitchepuntocom"
"2014-09-05","luisyepesb","ardillas en familia la aguacatala el poblado medellã­n http pkzwdmsyam"
"2014-09-05","marthacarvaja18","pablo_medellin aliriab bueno los idiotas votaron por la paz no se quejen disfruten esta es"
"2014-09-05","mimetikobtl","medellã­n una alternativa deportiva expofitnesscolombia bluefire bf gt http bymqke5ttj alcaldiademed"
"2014-09-05","moniqfrias","el lic ficogutierrez diserta sobre seguridad pãºblica y caso medellã­n fet tucumã n jcanook arielgarciaucr http hn4pdz5aeh"
"2014-09-05","mus_az","medellã­n desde por o noches para dos con opciã n a botella de vino espumoso en http rryunuttaa via promocionviaje"
"2014-09-05","nandosanchezu","medellã­n la eterna atracadera sector de mota es imperdonable a esta hora hasta cuando alcaldiademed"
"2014-09-05","obed_medellin","love_kyles it's b cx"
"2014-09-05","pat_hernandez6","vos pagã s para irnos a barranquilla yo pago medellã­n y asã­ vamos siendo complemento muchoquererte"
"2014-09-05","pckaro","desde la maraton de spinning medicancer centro comercial san diego in medellã­n antioquia xszqqyh0wd http 5gcy4fatzt"
"2014-09-05","prontoedifica","estuvimos acompaã ando a mademeco en la feriascamacol medellin http mg8waicqgq"
"2014-09-05","publikolors","promociã n litografã­a medellin volantes tarjetas 1pendon whatsapp calidad servicio http n1oizo9xmz"
"2014-09-05","soydeituango","pablo_medellin luzelenasierra sebasmlopez juanmansantos la hora y fue hoy pablo_medellin luzelenasierra sebasmlopez juanmansantos cuando fue"
"2014-09-05","steban_mx","momentos como estos jamas se repiten selfie medellin friends ðÿ ºðÿ ðÿš medellã­n antioquia http rhenhjcpj9 real friends medellin picoftheday universidad nacional sede http 6cy4syrzfs"
"2014-09-05","tatauribe2005","gift show la feria de regalos en cuidad medellã­n 11y centro eventos el tesoro entrada libre los esperamos"
"2014-09-05","tiendaciao","volvieron ðÿ domicilio envios nacionales colombia medellin cartagena cucuta quibdoâ http ww0h0c4aqm"
"2014-09-05","vasmujo","calle barranquilla en medellã­n yarumo dã til de las canarias monjitas ciudad la moda mediana y media http nqzfu21rwo"
"2014-09-05","yahoos_1","en medellã­n te recomiendo ir a la plaza de los deseos noche y disfrutar una buena pelã­cula al aire libre miciudadtudestino"
"2014-09-05","zdey","nubes cloud medellã­n ig_mexico ig_nature ig_select ig_ecuador igwoldclub ig_americasâ http iy32d4rezk"
"2014-09-08","andii1624","casa hatsu gift blanco noche teblanco mangosteen blackandwhite like mi medellin http 6248tftt8k"
"2014-09-08","anitarpo","ya vieron la luna en medellin"
"2014-09-08","be_academy","dancing cuties beacademy medellin academiadebaile welovedance dance dancers eltesoro be academy http 9adgtv2who"
"2014-09-08","catedralguanare","a finales de octubre inicia congreso internacional joseph ratzinger en medellã­n â colombia http 8hpx2r2bar"
"2014-09-08","claudio_mapa","pasando revista autos medellin in mã xico df z9w577qgvy"
"2014-09-08","dianalunareja","medellã­n interesados en arte y curadurã­a ã chenle ojo a esta invitaciã n del museodantioquia http vqnzbm5ig8 recomendado"
"2014-09-08","donml","hermosa luna en medellin http m06mnrkaap"
"2014-09-08","elpobladodemed","varias demandas contra la valorizaciã n en elpoblado se encuentran apelaciã para ante el consejo de estado medellã­n â quã hacer cuando llegue el derrame de valorizaciã n ver http rgbbx9ynis elpoblado medellã"
"2014-09-08","expresbrasilia","edixsonjesus hola el costo del tiquete en la ruta cucuta medellin es feliz noche"
"2014-09-08","ingenieriaudem","universidad de medellã­n comercial http qj9hjicr5a"
"2014-09-08","jbyrongarcia","muy lindos sus punticos de la luna espectacular que hay esta noche en medellã­n"
"2014-09-08","jcfiestasc","restauracion casi terminada goodnight buenasnoches medellin diseã o antes despues beforeâ http l9j7awonb7"
"2014-09-08","jesaub","alphajuan estã s en bogotã o desde cuando hay edificios de mã pisos medellã­n"
"2014-09-08","jhonfredycatao1","hermoso anocheser en medellin la ciudad de eterna primabera http 0gkadksmza"
"2014-09-08","laurir_a","uno que no vive en medellin y puede ir al concierto de canserbero"
"2014-09-08","medellin_eric","my friend is making go to some dumb thing oh god it going be a real bore fest"
"2014-09-08","monsagabriel","respirando felicidad de nuevo en medellã­n"
"2014-09-08","roldani_enrique","planeando mi viaje a medellã­n"
"2014-09-08","satiriconv","fui a comerme una hamburguesa de pollo en presto medellin casi me vomito"
"2014-09-11","1neno_","medellin"
"2014-09-11","aleja_wasaby","festivaldellibroylacultura ðÿ šðÿ ðÿž alcaldia de medellin http 2m2lfkr6rk"
"2014-09-11","andrescastro1","medellã­n congestiã n en las estaciones de cisneros san antonio y poblado del metro â quã sucede"
"2014-09-11","andresviveros07","i'm at my kame house in medellã­n antioquia http xjfpl99njz"
"2014-09-11","angiepacheco04","el peor de los aguaceros yo no sã que le estã pasando a medellã­n"
"2014-09-11","antopros64","ernestocortes28 juan_florez porque para medellã­n si hay plata de la naciã n metrocables y bogotã que es aporta no tiene nada"
"2014-09-11","carooo_135","valu8899 mi mamã desde que fuimos a medellã­n verlas pero si la ve en netas"
"2014-09-11","carza26","medellã­n una ciudad que colapsa con un aguacero alcaldiademed sttmed anibalgaviria teleantioquia telemedellin areametropol"
"2014-09-11","castanocatalina","me encantã esta bici con floresfrescas en medellin hoy http hq7qv4liqp"
"2014-09-11","cesarflorez12","cancherosrcn udsnoexisten casaleantonio les aã ado que fue en medellã­n si no me equivoco y cierto lo ley rafael serna"
"2014-09-11","claragiraldo","si serã otro concierto histã rico y de gira internacional que medellin se gana marzo con los stones cosas q uno escucha"
"2014-09-11","clima24_7","alosantamaria alonso tenemos hasta de probabilidades lluvia en el centro y occidente medellã­n telemedellin losdelsur19933 hola juanes tenemos hasta de probabilidades lluvia en el centro y occidente medellã­n saludos"
"2014-09-11","delpatriarcado","lo mã s curioso de esta imagen es que en medellã­n y casi nadie reconoce el cc santafã http n6ibnrdlv3"
"2014-09-11","elindiomusik","el clima no estuvo como para hacer mucho hoy en medellin pero aqui estoy reportandome enviandole un besito a http modckxca9b"
"2014-09-11","elmetroenlared","sã bado de septiembre dj jhonzio en vivo urban shots carrera zona rosa manrique la medellã­n http 3uergc1tlo"
"2014-09-11","eveiynsilvestre","le iba a preguntar si era de bogotã medellã­n cali o barranquilla pero me daba cosita"
"2014-09-11","fabyrbl","lo mejor de ir a medellin va ser ver mis primos ðÿ œðÿ"
"2014-09-11","golcaracol","presidente de medellã­n explica el ã xito su equipo gt http jz6rxd4gea"
"2014-09-11","gomelita04","en medellin http uhiun5alpt"
"2014-09-11","guarchorneim","â quã noche tan frã­a en medellã­n http sxrnki0em1"
"2014-09-11","imelancolica","solo esta lloviendo un poco en medellin http v02d7p363r"
"2014-09-11","janibalgallego","a darle con toda los descuidos se notan mucho gimnasio forma las americas in medellin antioquia lig3vqflzw"
"2014-09-11","jengi_","el propio caos medellin"
"2014-09-11","jncrlsprzz","ejercita2 fitness deportes cosmovision salud alimentaciã n tips medellin gym up abs dietas tv rutin http r1srpbqgee"
"2014-09-11","johanarenasr","sigo creyendo que al metro de medellã­n le falta una cuenta en twitter para nos informen quã pasa siempre quieren tapar todo"
"2014-09-11","juand_muneton","juanfcity jfcampuzano ya estamos recorriendo el camino juan medellin tiene las vias para flujo vehicular de hace aã os"
"2014-09-11","kathe9106","dyarmyrd_int daddy_yankee aca desde medellin presente celebrando los 2aã os de prestige"
"2014-09-11","ksperdj","aquã­ voy medellin centro http eqjv4gdeos"
"2014-09-11","ladlea10","fuy mala ella es tan humilde quiere que la acompaã e a medellin expor"
"2014-09-11","malcriaolafirma","este sabado medellin escuchara lo nuevo de pipermusica ft yelsid vestidayalborotadarmx viaâ http yvtdgyo5m3"
"2014-09-11","momentossuites","jajajaja moteles medellin momentos momentossuites http gvu8zytcxc"
"2014-09-11","moreno_ru_","me gusta medellã­n cuando llueve"
"2014-09-11","ngbernal","pim pam pum maã ana leyouth en medellin breakfest_col http wr0f0uaxly prebreakfest"
"2014-09-11","pablo_medellin","luisffierro crispydo que dice ivancepedacast de esto cobarde es quien http p0vum45sdg"
"2014-09-11","pikerias","la puja terminã rollingstones medellin marzo en el estadio atanasio girardot gabrielposada jaimearango http qnoz63qxfn"
"2014-09-11","salsaconestilo","â festival de salsa choke en medellã­n cali flow y cj castro septiembre estrella fonda bar barrio http gachvpn4r6"
